iter	Passed	Remaining
0	167	167354
1	169	84499
2	170	56651
3	171	42719
4	173	34495
5	175	29019
6	178	25392
7	180	22407
8	183	20208
9	185	18407
10	187	16861
11	188	15542
12	190	14442
13	191	13503
14	193	12704
15	194	11978
16	196	11369
17	197	10795
18	198	10255
19	199	9772
20	200	9342
21	201	8938
22	202	8581
23	202	8237
24	203	7920
25	203	7638
26	204	7374
27	205	7132
28	206	6909
29	207	6694
30	207	6496
31	208	6307
32	209	6131
33	210	5966
34	210	5808
35	211	5657
36	211	5512
37	212	5375
38	212	5244
39	213	5120
40	213	5001
41	214	4902
42	215	4795
43	216	4695
44	216	4598
45	217	4505
46	218	4421
47	218	4336
48	219	4254
49	219	4177
50	220	4105
51	221	4037
52	222	3969
53	222	3902
54	223	3836
55	223	3773
56	224	3711
57	224	3652
58	225	3595
59	226	3542
60	226	3489
61	227	3437
62	227	3387
63	228	3338
64	228	3292
65	229	3248
66	230	3204
67	230	3162
68	231	3120
69	231	3079
70	232	3039
71	232	3000
72	233	2962
73	233	2928
74	234	2894
75	235	2862
76	236	2830
77	236	2800
78	237	2771
79	238	2741
80	239	2713
81	239	2683
82	240	2652
83	240	2625
84	241	2598
85	242	2572
86	243	2551
87	243	2527
88	244	2503
89	245	2479
90	245	2454
91	246	2435
92	247	2411
93	247	2388
94	248	2366
95	249	2346
96	249	2326
97	250	2306
98	251	2287
99	252	2269
100	253	2252
101	253	2234
102	254	2215
103	255	2197
104	255	2178
105	256	2161
106	257	2145
107	257	2127
108	258	2110
109	258	2093
110	259	2078
111	260	2063
112	260	2047
113	261	2032
114	262	2017
115	262	2002
116	263	1986
117	264	1973
118	264	1961
119	265	1948
120	266	1934
121	266	1920
122	267	1908
123	268	1895
124	269	1883
125	269	1870
126	270	1856
127	270	1845
128	271	1834
129	272	1822
130	272	1810
131	273	1799
132	274	1788
133	275	1778
134	275	1766
135	276	1755
136	276	1744
137	277	1733
138	278	1722
139	278	1712
140	279	1703
141	280	1693
142	280	1683
143	281	1674
144	282	1665
145	283	1656
146	283	1647
147	284	1638
148	285	1629
149	285	1619
150	286	1610
151	287	1601
152	287	1592
153	288	1583
154	288	1575
155	289	1567
156	290	1558
157	291	1551
158	291	1542
159	292	1534
160	292	1525
161	293	1517
162	294	1510
163	295	1505
164	295	1497
165	296	1490
166	297	1484
167	298	1479
168	299	1473
169	300	1465
170	300	1458
171	301	1451
172	302	1444
173	302	1438
174	303	1431
175	306	1433
176	307	1430
177	309	1430
178	311	1428
179	314	1430
180	315	1426
181	316	1422
182	317	1416
183	318	1410
184	318	1404
185	320	1400
186	321	1397
187	322	1393
188	323	1390
189	325	1388
190	328	1393
191	330	1389
192	331	1384
193	331	1379
194	332	1373
195	333	1368
196	334	1364
197	335	1358
198	336	1353
199	336	1346
200	337	1341
201	338	1335
202	338	1329
203	339	1325
204	340	1320
205	341	1316
206	342	1312
207	343	1307
208	343	1301
209	344	1296
210	345	1291
211	346	1286
212	346	1281
213	347	1277
214	348	1273
215	349	1268
216	350	1265
217	351	1260
218	352	1255
219	352	1250
220	353	1246
221	354	1241
222	355	1237
223	355	1232
224	356	1227
225	356	1222
226	357	1218
227	358	1213
228	359	1208
229	359	1204
230	360	1200
231	361	1195
232	362	1191
233	362	1187
234	363	1182
235	363	1177
236	364	1172
237	365	1168
238	365	1164
239	366	1160
240	366	1155
241	367	1151
242	368	1147
243	369	1144
244	370	1140
245	370	1136
